# id                    Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21    phi31    meanmag   cost     phcov   phcov2   snr      Npt   order   minmax   phaseshift   id_2                  Nep_rv   totamp_rv   A1_rv     A2_rv    A3_rv    phi1_rv   phi2_rv   phi3_rv   phi21_rv   phi31_rv   mean_rv    cost_rv   phcov_rv   snr_rv    Npt_rv   order_rv   minmax_rv   remark  
  4219302479189427072   37    0.515169   0.585    0.209   0.102   0.059   1.97     0.397    -0.969   9.0229   5.6871   12.839    0.0028   0.861   0.918    322.3    37    4       0.585    0.314        4219302479189427072   13       47.18       20.921    6.558    2.291    0.246     3.504     0.147     9.2944     5.6913     -47.485    2.8943    0.856      23.7      13       3          57.456      1       
  4187603872507064960   28    0.412773   0.892    0.341   0.162   0.094   -3.083   2.813    2.473    8.9784   5.4384   13.475    0.0041   0.902   0.884    498.0    28    4       0.877    -0.491       4187603872507064960   10       60.922      26.201    9.597    4.64     -0.019    2.403     1.059     8.7239     7.3993     47.259     0.0       0.799      18565.9   10       6          59.832      1       
  4113122954864169600   35    0.461366   0.394    0.16    0.066   0.03    -1.491   -0.242   1.333    9.0225   5.8061   11.617    0.0073   0.878   0.875    114.2    35    4       0.46     -0.237       4113122954864169600   13       37.716      16.756    4.754    1.337    -0.336    2.326     -1.477    9.2807     5.8139     16.014     2.1465    0.626      26.3      13       3          45.815      1       
  3765574712337027456   27    0.537724   0.794    0.3     0.149   0.081   -1.205   0.19     1.908    8.8822   5.5212   10.807    0.0042   0.772   0.872    567.6    27    4       0.697    -0.192       3765574712337027456   8        55.719      25.799    6.453    1.106    -0.475    1.494     -2.87     8.7261     4.8378     294.676    0.0       0.742      35293.4   8        6          49.636      1       
  3717352885416905984   37    0.564532   1.063    0.391   0.193   0.121   -0.268   1.799    -2.062   8.6174   5.0247   12.049    0.0139   0.874   0.844    274.7    37    6       1.06     -0.043       3717352885416905984   12       43.687      19.951    4.966    1.189    -0.621    0.946     0.262     8.4713     8.4075     12.601     1.2453    0.775      49.9      12       3          46.262      2       
  3670341513424752000   23    0.483732   0.786    0.346   0.13    0.05    2.708    1.608    0.398    8.758    4.8397   11.711    0.005    0.862   0.851    192.1    23    4       0.771    0.431        3670341513424752000   13       37.768      17.66     1.526    1.094    -1.176    0.476     -0.523    9.1108     3.0047     -18.102    1.1974    0.452      48.8      13       3          42.882      2       
  3030561879348972544   39    0.734199   0.6      0.222   0.102   0.055   -2.952   3.31     -2.794   9.2131   6.0606   11.201    0.0015   0.887   0.833    772.1    39    4       0.605    -0.47        3030561879348972544   10       59.47       24.536    9.554    5.655    -0.181    2.489     -0.982    9.1334     5.8426     217.8      1.4933    0.799      41.5      10       3          59.734      1       
  2614698131854262272   23    0.551937   0.745    0.273   0.119   0.09    2.731    1.454    0.53     8.5582   4.9022   12.588    0.0011   0.851   0.81     408.9    23    5       0.7      0.435        2614698131854262272   13       88.072      36.543    13.97    5.722    -0.353    2.324     -0.813    9.3142     6.5309     -150.066   1.2108    0.769      106.7     13       3          72.645      1       
  2544592853854602496   30    0.529731   0.71     0.303   0.122   0.06    0.948    4.296    1.676    8.6839   5.1161   12.26     0.0305   0.864   0.876    76.5     30    5       0.741    0.151        2544592853854602496   11       56.732      20.727    11.349   10.014   -0.248    2.69      -2.245    9.4698     4.7832     -7.494     0.502     0.817      533.0     11       3          48.856      2       
  2438710609949867776   30    0.481871   0.754    0.276   0.133   0.056   1.924    0.059    -1.287   8.7775   5.5072   11.417    2.0E-4   0.782   0.819    1389.2   30    5       0.731    0.306        2438710609949867776   11       56.365      25.992    3.68     1.311    -0.003    3.143     -3.36     9.4324     2.932      30.801     0.3188    0.529      382.1     11       3          56.304      2       
  1338388092349825280   47    0.440341   1.133    0.399   0.182   0.132   1.048    4.359    1.767    8.5469   4.9068   11.46     0.0095   0.896   0.912    480.5    47    6       1.124    0.167        1338388092349825280   12       54.879      24.223    5.203    2.079    -0.445    1.669     2.315     8.8423     3.6512     -109.522   1.173     0.712      65.1      12       3          58.339      2       
